Mixture,macrophages,mast,B.naive,B.memory,plasma,T.CD4.naive,T.CD4.memory,T.CD8.naive,T.CD8.memory,NK,pDCs,mDCs,monocytes.C,monocytes.NC.I,neutrophils,Treg,endothelial.cells,fibroblasts,P-value,Correlation,RMSE
ROI_059.dcc,0,0.00528599537962327,0,0,0.233351873691562,0,0,0,0,0.292209196606879,0.0245012835908844,0.015101223759249,0,0,0.077392481193953,0,0.0523749950869628,0.299782950690886,0,0.683098180654919,0.745805977542638
ROI_060.dcc,0,0.0514783474650104,0,0,0,0,0,0.0260972376505293,0.0376976713712592,0.165838072378884,0.065569570008641,0.0262447158976874,0,0,0,0,0.411816437919056,0.215257947308933,0,0.573565048413548,0.825853020620393
ROI_061.dcc,0,0.00725087274145252,0,0,0.036969743010323,0.0362643766453367,0,0.318073169955771,0,0.20156246569173,0,0.0273107212949056,0.00810633167336233,0.0869117134535795,0.0949815258140457,0,0.0574396812411263,0.125129398478367,0,0.304041175817737,0.952061524277211
ROI_062.dcc,0.271668342994598,0.0211804460520604,0,0,0.161693577337072,0,0.136009763965976,0,0.0527411590501205,0,0.0322696005517111,0.021364944172115,0.0532932441673127,0.0370959353273383,0.00938098255765427,0,0.13141888058295,0.0718831232410912,0,0.629821368044992,0.840063655883641
ROI_063.dcc,0.0567215075181979,0.0385716354551245,0,0.0503525675391509,0.177992634955118,0,0.162285094915724,0,0,0.0930425502790392,0.0166664549427331,0.0233358843576952,0,0.0100848372300666,0,0,0.324800306511813,0.046146526295337,0,0.397088890591458,0.929431757746545
ROI_064.dcc,0.162084547364654,0.0678180961263549,0.00933285624675619,0,0,0,0.0161038386474062,0,0,0.255491199200959,0.0299802435996412,0.0272631695259666,0,0,0,0,0.313530309194396,0.118395740093866,0,0.563781394227071,0.854596530770612
ROI_065.dcc,0.0484392248209344,0.00307361587326653,0,0,0.158819937744822,0.0319569181575022,0.0327297839175836,0.0349767613075021,0.20861438995502,0,0,0.0540848718394991,0.0917349638194671,0,0,0.202184729713918,0.0313991848331393,0.101985618017346,0,0.763942542138064,0.775882855671545
ROI_066.dcc,0.0444123658150394,0.00969481945166992,0,0,0.243220853218703,0.0185608696163257,0.0156521947280244,0,0.196830642142604,0,0,0.062204727031638,0.0199828153529917,0,0,0.185274683510457,0.132586483364552,0.0715795457679947,0,0.64824874404163,0.837952469799846
ROI_067.dcc,0.248017186865046,0.00635920351026928,0,0,0.101512582492457,0,0.0676301773752849,0.0016061984737775,0.21586950430001,0,0,0.0348847081790369,0.0784481227198927,0,0,0.0837835041148789,0.143301868829349,0.0185869431399983,0,0.735938562358879,0.800611241117125
ROI_068.dcc,0,0.00244216538383539,0.0337620457456826,0,0,0,0,0,0,0,0.0759645838566689,0.0134462907027373,0.0110203812651555,0,0.511335499071402,0.0592959443323058,0.226668494111892,0.06606459553032,0,0.348962682114368,0.947338051431838
ROI_069.dcc,0.100111430618914,0,0,0,0,0,0.0912809392417764,0,0.253632192019317,0,0.0723268561214513,0.172817590541722,0,0,0.212833303422973,0,0.0825180573917654,0.0144796306420808,0,0.340189741393309,0.981486801255785
ROI_070.dcc,0.035993585662023,0.00690424228502456,0.0384216266742347,0,0,0,0,0,0.238099183344182,0,0.0213854083785569,0.0101984550740374,0.0320876840957957,0,0.329300670890367,0.143675904389947,0.0893702803374966,0.054562958868335,0,0.144308396341077,0.988489139773969
ROI_071.dcc,0.0947417918414576,0.0175574204843003,0,0,0.183284537227728,0.0258434175599769,0.12628226590482,0,0.0998227527653092,0,0.000509873068537107,0.0368533126809864,0.0696147785568161,0,0.00222261873572498,0.176969175453152,0.14996590193858,0.0163321537826124,0,0.678349249641784,0.849915736490788
ROI_072.dcc,0.0979401705457712,0.00421949939946713,0.0359253220304202,0,0.0909712815380969,0.0024864715750879,0.119392595038227,0,0.0593092847154291,0.0398148677422704,0.00317669082554855,0.0434095814712996,0.195437912303689,0,0,0.200282589340724,0.0599569283535535,0.0476768051204166,0,0.751264451350314,0.756983501229963
ROI_073.dcc,0.184794496980976,0,0,0,0.152613793006432,0,0.0220841245232794,0,0.0668643808919551,0.0285923872004585,0.0029553576992618,0.040192971912117,0.107622058534893,0,0.0896041514539068,0.0962264317656068,0.0792148635671693,0.129234982463945,0,0.693494490584766,0.783014078363135
ROI_074.dcc,0.27858213849723,0,0,0,0.104426965065272,0,0.146528269594177,0,0.0647196478152834,0.0175361897925836,0,0.0236863169566824,0.176152153322974,0,0.043793636774219,0,0.0514565668009179,0.0931181153806614,0,0.797324575961658,0.72535799066807
ROI_075.dcc,0.0230791861191871,0.00123503269056671,0,0,0.15796542571224,0.0711576662242411,0.0806768090921405,0.0695952778865916,0.118117606793394,0.114990692296642,0,0.0506269652393849,0.0331279291165971,0,0,0.0434871333938699,0,0.235940275435145,0,0.785532203121592,0.701367768540842
ROI_076.dcc,0.104112754787595,0.0137784734135931,0,0,0,0.0251977712003403,0.0870377696992059,0.0238312533309143,0.346886744196363,0.027398868403532,0,0.0414291740841551,0.0821020050272169,0,0,0.14701636030995,0.00868030641312167,0.0925285191340133,0,0.571607963517378,0.864925324395528
ROI_077.dcc,0,0,0.102820664923975,0,0,0,0,0,0.26822899498053,0,0,0.023742352363859,0,0.129831347378225,0.270849192302511,0,0.0647488240821923,0.139778623968707,0,0.321469946822212,0.945573061804076
ROI_078.dcc,0.130562672624199,0.00869944880225077,0.00186244238836475,0,0,0,0,0,0.2475856175666,0.0293218026050108,0.0059944963253754,0.00198937036488146,0,0.012805949045712,0.323623104462496,0.118699453436387,0,0.118855642378723,0,0.62452221546732,0.877069021775829
